"tweet_id","date","username","tweet"
"1470012572","Tue Apr 07 08:05:14 PDT 2009","His_Alone","Is reading Emma's Story By, Stephani R Jenkins. It's great so far! "
"1470012587","Tue Apr 07 08:05:14 PDT 2009","AbbyObenchain","Who steals a plane for crying out loud?   http://tinyurl.com/dxbnag"
"1470012691","Tue Apr 07 08:05:16 PDT 2009","howlieT","for them, and added greenness is always a good thing isn't it? "
"1470012728","Tue Apr 07 08:05:15 PDT 2009","3x1minus1","@harrisc thanks! "
"1470012746","Tue Apr 07 08:05:16 PDT 2009","jakimowicz","c++ =&gt; erlang =&gt; ruby ... this is going to be great "
"1470012780","Tue Apr 07 08:05:16 PDT 2009","harry_jerry","Just spoke to dad over phone. Feel much better now. Probably the best conversation I had today. "
"1470012790","Tue Apr 07 08:05:16 PDT 2009","tabitca","@OberonUK waves. yes am feeling better for him being here. glad your weekend went well   Hug "
"1470012806","Tue Apr 07 08:05:17 PDT 2009","Dukeuzig","@xutech what the?! "
"1470012809","Tue Apr 07 08:05:16 PDT 2009","SEOSEM","mining the long tail for negative search terms for PPC "
"1470012900","Tue Apr 07 08:05:17 PDT 2009","RobertTinsley","@KariHultman Look at a short film of master using bowl adze at  http://bit.ly/2f3l6 &amp; watch video on left. Maybe get hints 4 new tool "
"1470012951","Tue Apr 07 08:05:17 PDT 2009","bswain","@misshelen20 lol, it will take some getting use to! i recognise people by their pic! "
"1470012996","Tue Apr 07 08:05:18 PDT 2009","davidakachaos","Hyves is weer up! "
"1470013110","Tue Apr 07 08:05:19 PDT 2009","breadedcod","@kona_russ I think you should crowdsource reviews of the King Zing over summer   &lt;ahem&gt;"
"1470013162","Tue Apr 07 08:05:19 PDT 2009","hphoeksma","rounding up for this afternoon. Tonight the work will continue - most likely after a Wii game "
"1470013168","Tue Apr 07 08:05:20 PDT 2009","shamara99","@SummerJersey NICE FRIEND! Idk how to fish but Imani does my Pop Pop (Bless him) and Mom taught her "
"1470013214","Tue Apr 07 08:05:20 PDT 2009","AndreaRenee","@loserboy maybe a little pela this morning?? or m. ward....or both!? "
"1470013232","Tue Apr 07 08:05:20 PDT 2009","OsnatBresler","@DanielThe1st Then I`m right behind you, my man. Feeling good is the first and foremost priority!!! Bravo! "
"1470013257","Tue Apr 07 08:05:20 PDT 2009","kipton27","@intuitiveartist Did you know the Chinese word &quot;dim sum&quot; literally means &quot;touch your heart&quot;? ... i guess i am hungry "
"1470013324","Tue Apr 07 08:05:21 PDT 2009","PoweredByATP","finalizing the version 14 of the paper "
"1470013340","Tue Apr 07 08:05:22 PDT 2009","digitaldolphin","@thephatbunny Yup read that one not long ago, as well as the speaker for the dead series, and Ender's shadow series "
"1470013444","Tue Apr 07 08:05:22 PDT 2009","daleswinburne","@samradford No evidence but I think it ranks pretty high....around 33rd or 34th!  "
"1470013533","Tue Apr 07 08:05:25 PDT 2009","dim0","lazy day! mmmmmmmm... Time to finish 1984  or would I study..... naaaaaaah!"
"1470013569","Tue Apr 07 08:05:25 PDT 2009","Glassowater","@sarahik mmm...I would love a little contentment... "
"1470013659","Tue Apr 07 08:05:25 PDT 2009","davis87","@Issime stop it, you.  You know that flattery will get you anywhere with me "
"1470013664","Tue Apr 07 08:05:25 PDT 2009","zeelion","showers, goooood.... missing breakfast... not so much, but life goes on! it's gonna be a good day anyway  &lt;3 reggae roots."
"1470013677","Tue Apr 07 08:05:25 PDT 2009","brybur","I think I may have accomplished something.  "
